customer,gender,income,claim,cartype,response
RD15786,M,25905,302.4,Sedan,1
ZK71157,F,40833,294.591676,Sedan,0
DT85712,M,34378,489.6,SUV,0
XX88577,M,84824,319.820747,SUV,0
EM16179,F,69011,336,Sedan,0
TN73558,F,0,460.8,Sedan,1
KP51068,M,59961,291.91645,Sedan,0
SI32097,F,30814,417.6,Sedan,0
VL59942,F,94137,43.579327,Sedan,0
UV44323,F,0,638.4,SUV,0
GB14456,M,0,1376.910777,SUV,0
HU81007,F,21706,518.4,SUV,0
TO14996,M,37595,501.994635,Sedan,0
QH48047,M,25251,316.8,Sedan,1
ZU35962,F,0,25.807685,Sedan,0
AL78075,M,0,777.6,Sedan,0
YI89801,F,49304,312,Sedan,0
GW89349,M,0,525.6,Sedan,0
AD33653,M,0,441.6,Sedan,0
NB86870,F,0,685.12694,Sedan,1
GU41198,F,62421,384,Sedan,0
BV25135,M,28314,580.8,SUV,0
FP10040,M,38113,203.640251,Sedan,0
AM52614,F,41402,571.2,Sports,0
IN10489,F,78772,86.274545,Sedan,0
SJ87277,M,75329,45.905292,Sedan,0
JD86991,M,67233,246.693624,Sedan,0
FV22585,M,74487,16.711329,Sedan,0
RE80124,F,0,604.8,Sedan,0
KG84303,M,38820,547.619785,Sedan,0
VC68509,F,42240,46.386546,Sedan,0
PN21042,M,82297,0.382107,Sports,0
CZ62883,F,34854,456,Sedan,0
RR66500,M,87462,51.294615,Sedan,0
DC37886,F,73692,24.843535,Sedan,0
AG47947,F,81872,256.43803,Sedan,1
DX91392,M,51066,787.993313,Sedan,1
RV95842,M,29692,449.352139,Sedan,0
HS74723,F,80969,1041.6,SUV,0
HG93801,M,82730,442.521087,SUV,0
UH59257,M,61726,689.507724,Sedan,0
MS87381,F,0,388.8,Sedan,0
XJ52902,M,43540,117.585017,Sedan,0
OC80343,M,49682,198.84453,SUV,0
LM54297,M,0,806.534801,Sedan,0
MI91352,M,25998,791.878042,Sedan,1
DX65548,F,38713,316.8,Sedan,1
FM46980,M,41770,476.156957,Sedan,0
GO14008,F,73775,321.6,Sedan,0
XG92008,F,24191,103.750234,Sedan,0
TQ85537,M,72669,332.76894,Sedan,0
AY19539,M,13528,412.8,Sedan,1
NP88319,F,15850,314.528138,Sedan,0
GY99465,F,0,331.2,Sedan,0
DF95759,M,0,633.6,SUV,0
LO40410,F,21986,333.696228,Sedan,1
TK38732,M,47824,546.046853,SUV,0
YI95574,M,16049,446.4,Sedan,0
EG81847,F,31027,597.578875,SUV,0
KR35099,M,60920,231.201886,Sedan,1
YR49519,M,0,359.35328,Sedan,0
IN26765,M,62912,168.358644,Sedan,0
LT41574,F,34717,336,Sedan,0
TI92884,M,61844,508.8,Sports,0
DD22139,F,0,732.352745,Sedan,0
AY30324,F,99074,208.38907,Sedan,0
LS99940,F,63398,292.206784,Sedan,0
WO95180,F,22283,572.072106,Sedan,1
JM93892,M,61006,73.919629,Sedan,0
VC34797,F,40921,10.560419,Sedan,0
MX48796,F,0,356.08323,Sedan,0
BL12371,M,84551,28.92584,Sedan,0
QQ69088,M,11097,350.4,Sedan,0
NN99001,F,56940,512.66245,Sedan,0
LJ59940,F,0,685.12694,Sedan,1
PO80505,F,14170,523.2,SUV,0
KH92987,F,30095,652.8,SUV,0
FL76894,M,33488,316.876671,SUV,0
UV49359,F,74335,896.436023,Sedan,0
ZO29478,F,18495,542.4,SUV,1
BN74268,F,28045,475.2,Sedan,0
YL74911,F,0,566.4,SUV,1
RT51330,F,0,437.184112,Sedan,0
UC33108,M,32375,398.4,Sedan,0
TP10619,F,26660,453.6,Sedan,0
FT61724,F,29105,272.612048,Sports,0
LU87443,F,26277,292.8,Sedan,0
PT50227,M,0,326.4,Sedan,0
RX13282,M,14973,828,SUV,1
No50634,M,60475,513.6,Sedan,1
AZ38648,F,21514,257.248789,Sedan,1
OX62244,M,0,307.2,Sedan,0
FQ22639,M,35205,178.839506,Sedan,0
GT38956,F,0,312,Sedan,0
HZ52656,F,89451,61.769564,Sedan,1
HM20544,F,0,479.097472,Sedan,0
UP97629,F,0,245.673365,Sedan,0
UQ63751,F,23772,100.652984,Sedan,0
NN65845,F,21603,326.4,Sedan,0
EZ30537,F,79655,498.159874,Sedan,0
TC88451,F,88055,337.727542,Sedan,0
PN22481,M,0,316.8,Sedan,0
SB44315,M,39010,374.4,Sedan,0
XC14741,M,97735,188.667196,Sedan,0
ZK21724,F,0,799.2,SUV,0
OI68331,F,21576,312,Sedan,0
KU23440,F,0,302.4,Sedan,0
OI44122,M,45600,617.936885,SUV,0
OL27257,F,20394,508.614758,Sedan,0
IJ33473,F,0,350.4,Sedan,0
NB86692,F,60060,320.629479,Sedan,0
YD28431,F,66346,78.179743,Sedan,0
PV12088,M,19508,292.8,Sedan,0
HB23001,M,26287,279.378884,Sedan,0
EB61889,M,25322,886.033554,Sports,0
LC33025,M,44698,1012.8,Sedan,0
YK60829,F,92766,379.029102,Sedan,1
LQ76410,M,62873,207.75186,Sedan,1
SZ60450,M,40272,23.387192,Sedan,0
HR85493,M,0,326.4,Sedan,0
BD13927,F,0,675.468453,Sedan,0
PZ47477,M,41829,416.365369,Sedan,0
OX28638,M,37839,465.633954,Sedan,0
GO36627,M,21880,424.077159,Sedan,0
DI65961,M,34644,316.8,Sedan,0
PP62909,F,0,30.989755,Sports,0
YH86106,M,40238,350.4,Sedan,0
UH22701,F,72236,518.064733,Sedan,0
IC47914,M,0,741.6,Sedan,0
HU57895,F,0,605.137484,Sports,0
AR99766,F,82534,4.23752,SUV,0
GG61186,F,0,161.092415,Sedan,0
PT64580,M,77048,141.199465,SUV,0
EM29019,F,61337,2.54009,SUV,0
OC50447,M,38055,39.069987,Sedan,0
EE24901,M,0,398.4,Sedan,0
PD66941,M,17622,312,Sedan,1
VE75717,F,31447,580.8,SUV,0
HW27766,M,16367,515.569363,Sedan,0
KG49115,F,89411,116.237322,Sedan,0
CR92802,F,36650,56.60333,Sedan,1
OW85480,M,25545,331.2,Sedan,0
TV34024,M,0,820.8,SUV,0
RJ85627,F,43817,245.447622,Sedan,0
NN44612,F,61402,252.157829,Sedan,0
SA88518,F,50296,46.804,Sedan,0
MZ16820,M,86811,489.6,Sedan,0
TY26512,M,30817,91.834668,Sedan,1
OW68478,M,17101,542.4,SUV,1
ZF77631,M,80540,65.845112,Sedan,0
FM54600,F,0,1245.6,SUV,0
IC11062,F,37995,667.2,SUV,1
KU94282,F,62900,83.897335,Sedan,0
TJ51874,M,13908,804.130779,SUV,0
TB31268,F,48990,355.2,Sedan,0
WU63862,M,31614,234.683628,Sedan,0
WV79842,M,24314,1128,SUV,0
RH28799,M,0,341.329847,Sedan,0
TU64352,F,0,835.2,Sports,0
OO89057,F,54054,5.661684,Sedan,0
FH39423,F,80727,98.71658,Sedan,0
ZT26848,M,40447,377.561463,SUV,0
TQ84956,M,55687,1324.8,SUV,1
DM74502,F,93087,628.8,Sports,0
IX46908,F,21289,340.8,Sedan,0
GX27974,F,0,94.958688,Sedan,0
GQ20713,F,38713,316.8,Sedan,1
EG62398,F,29066,844.229478,SUV,0
PV62583,M,22166,604.8,SUV,0
IY38767,M,0,496.474767,Sedan,1
AI61368,F,22510,456,Sedan,0
AT13963,F,43946,415.98615,Sports,0
OH60605,F,39679,641.388616,Sedan,0
YD89516,M,0,758.460636,Sedan,0
VO78441,F,19464,871.505797,Sedan,0
OP67672,F,20290,766.519022,SUV,0
CY33307,F,32403,97.410282,Sedan,0
KV56995,M,18375,535.080276,Sports,1
ZS72533,M,86451,7.793078,Sedan,0
MP53132,F,0,979.2,SUV,0
LO48126,F,23845,292.8,Sedan,0
JB47784,F,81945,47.451832,Sedan,0
DZ64604,M,60774,739.2,SUV,0
AT52647,F,0,1305.275432,SUV,0
TM23514,M,60145,580.473259,SUV,0
KJ55021,F,29111,302.4,Sedan,0
QE12539,M,40870,504,SUV,1
JF11031,M,0,393.6,Sedan,0
KH93988,F,71134,196.37368,Sedan,0
GJ47896,F,35503,216.173135,Sedan,0
KB72438,F,65989,115.545086,SUV,0
AX38728,M,0,388.8,Sedan,0
LN37854,F,0,525.6,Sedan,0
QZ19741,F,96745,859.2,SUV,0
SV68939,F,33157,286.003968,SUV,0
CM73149,F,31189,585.6,Sports,0
BO21461,M,98879,108.667642,Sedan,0
DW19309,M,65726,849.6,SUV,0
RJ80405,M,33191,443.53718,Sedan,0
QB86817,F,98235,377.422029,Sedan,0
RS30611,M,15871,427.2,Sedan,0
OP62891,F,0,460.8,Sedan,0
NX18821,M,49833,331.2,Sedan,0
YH81239,M,48131,393.6,Sedan,0
EL41362,F,99839,468.203397,Sedan,0
YY58769,M,58498,321.6,Sedan,0
WH77063,F,74163,518.4,Sedan,0
IZ24763,F,0,590.626396,Sedan,0
SI31035,M,59601,321.6,Sedan,0
HO77809,F,59098,665.931223,SUV,0
AG58599,F,26004,336,Sedan,0
TJ68521,M,41991,88.382536,Sedan,0
CP76842,F,95438,99.223092,Sedan,0
CD55111,M,73359,107.187926,Sedan,0
LL56632,F,55842,703.118925,SUV,0
JZ28710,M,61417,206.01822,Sedan,0
YY16391,M,0,856.8,Sedan,0
NB82190,M,73742,27.210992,Sedan,0
AK46006,M,18047,1350.379181,SUV,0
HV93429,F,23636,81.452537,Sedan,0
XU63766,F,0,232.01349,Sedan,0
GT97121,M,15999,398.4,Sedan,0
ST52914,M,25899,568.8,Sedan,0
PU73501,M,97361,350.4,Sedan,1
DH68319,F,62506,331.2,Sedan,0
OU62604,F,78362,525.6,Sedan,0
FZ89300,F,69555,255.277041,Sedan,0
FS31523,F,0,585.6,SUV,0
NZ57264,M,0,813.6,SUV,0
YQ58965,F,23376,374.4,Sedan,1
VA91846,M,97868,267.786573,Sedan,0
OK96130,M,37331,898.914194,SUV,0
PU25554,F,62579,326.242099,Sedan,0
SP29219,M,0,504,Sedan,1
HZ56678,F,20261,345.6,Sedan,0
JC29295,F,80744,361.284757,SUV,0
NK53911,M,79980,629.82071,Sedan,0
NJ46471,F,56550,162.775889,Sedan,0
QT26393,M,29152,255.079807,Sedan,0
FB76635,F,61737,495.670802,Sports,0
HZ62410,M,0,379.2,Sedan,0
MH24522,M,0,563.284331,Sports,0
JD10245,M,86001,523.2,SUV,0
RT37588,F,69268,19.170855,Sedan,0
TR81766,F,70263,7.345946,Sedan,1
BR40272,M,49009,504,Sedan,0
LK73198,F,55593,9.050204,Sedan,0
JH14651,M,60244,326.281835,Sedan,1
XO94933,F,33282,207.510821,SUV,0
XC15133,F,34990,42.689135,Sedan,1
TZ47750,M,26057,523.888845,Sedan,1
OP68330,F,0,460.8,Sedan,0
UL64533,M,65999,615.927769,SUV,0
NE83217,F,70342,685.907341,Sedan,0
OI48267,M,20396,364.8,Sedan,1
VU84949,F,0,336,Sedan,0
CN13435,F,44369,185.291566,Sedan,0
VR45143,F,48597,305.697525,Sedan,0
KK95092,M,55281,921.6,SUV,0
KF88603,M,0,993.6,SUV,0
UW68708,F,0,496.8,Sedan,0
EF41225,F,40711,580.8,SUV,0
ZB62469,M,0,482.4,Sedan,0
TP39671,M,0,132.492438,Sedan,0
GI55977,F,28806,292.8,Sedan,0
YX72707,F,0,445.19869,Sedan,0
LW25030,F,29957,312,Sedan,0
ZY33234,F,66331,513.6,Sedan,0
RJ99408,M,35637,326.4,Sedan,0
PE66545,M,29250,308.240792,Sedan,0
XN34686,M,41396,336,Sedan,0
SR41132,F,0,848.737364,Sedan,0
PN53766,M,43091,330.138332,Sedan,0
HO82823,F,59367,6.880385,Sedan,0
MS78828,F,33169,614.4,SUV,0
JR26812,M,0,907.2,SUV,0
XI51746,F,28463,324.317667,SUV,0
VI66513,M,20009,987.122788,Sedan,0
HA40978,M,53234,1212.988796,Sedan,0
VF32335,M,0,921.6,SUV,0
EM66435,F,80210,20.543176,Sedan,0
VW34309,F,43440,128.21198,Sedan,0
LJ21457,M,42247,355.2,Sedan,0
YC87263,F,70734,1200.292827,SUV,0
AN97123,F,0,401.528957,Sedan,0
SI13406,F,32714,513.041633,Sedan,0
OF47250,F,92374,220.018279,SUV,0
JH35547,M,36261,16.800832,Sedan,0
CP47989,F,29734,649.83837,Sedan,0
WE93328,F,66676,558.099357,Sedan,1
FG21322,F,0,345.6,Sedan,0
LN31673,M,38923,115.728852,Sedan,0
JG16015,F,61987,723.301363,SUV,0
MP85571,F,0,2156.011022,SUV,0
KW93227,M,58149,292.8,Sedan,0
MD40054,M,34498,398.4,Sedan,1
ZV32120,M,23599,494.4,SUV,0
UF37831,M,54613,731.559007,SUV,0
ES97823,F,0,1154.635974,Sedan,0
RN87402,F,0,454.3585,Sedan,0
DD27563,M,86687,274.159702,Sedan,0
PN47493,F,41968,183.207703,Sedan,0
LA13377,M,78879,466.570791,Sedan,0
WK88044,M,61281,79.865605,SUV,0
KI70852,F,0,1201.085226,SUV,0
SM17747,M,29038,56.351667,Sedan,0
NG59515,M,52693,619.2,SUV,0
QV26574,M,25646,377.917394,Sedan,0
UQ62739,M,0,725.870693,SUV,1
JF57282,M,0,657.6,SUV,0
TY22591,M,32823,480,SUV,0
IE97795,M,39020,485.01384,Sedan,0
UO44449,F,33700,274.114843,Sedan,0
XS68865,M,96988,369.6,Sedan,0
ZZ41158,M,28506,499.2,SUV,0
MO82744,F,45586,203.42306,Sedan,0
ZJ22132,F,42056,221.951098,Sedan,0
OY92520,F,12075,451.2,Sedan,0
LN99954,M,0,622.88852,Sedan,0
JO64487,F,0,547.2,Sedan,0
UK41984,F,0,537.6,SUV,0
BC85847,F,0,585.058877,Sedan,0
ON39271,M,0,263.365432,Sedan,0
No19664,F,26409,475.166267,Sedan,0
AH92481,F,53219,561.6,SUV,0
PZ95949,M,31278,441.6,Sedan,1
UM76485,M,0,489.6,SUV,0
GX51965,M,95697,178.006524,Sports,1
FX81675,F,87957,308.321335,Sedan,0
CV75841,M,97321,74.744643,Sedan,0
KX86150,M,13542,451.2,Sedan,0
RO18530,M,42557,57.562324,Sedan,0
TM23788,M,0,640.8,Sedan,0
LV94312,M,33580,315.326222,Sedan,0
NP66209,F,0,326.4,Sedan,0
AP59947,F,55843,307.2,Sedan,0
ML93326,F,84903,497.126827,SUV,0
KW59167,F,72608,393.6,Sedan,1
JQ22359,F,0,549.101027,Sedan,0
PA20570,M,84146,464.714188,Sedan,0
WO81184,M,34645,220.446667,Sedan,0
PF77449,F,23923,393.6,Sedan,0
RY38931,M,36088,345.6,Sedan,1
KV99550,M,0,292.8,Sedan,0
XD66024,F,0,980.169081,Sedan,0
BP35803,F,29194,424.466821,Sedan,0
BG74433,F,0,532.8,Sedan,0
DV51398,M,0,1088.38378,SUV,0
ZK11389,M,76358,86.461582,Sedan,1
NZ57065,M,36844,283.966321,Sedan,0
ZU63258,M,0,480,SUV,0
WS56675,F,88590,41.721538,Sedan,0
MT58123,M,28432,612.300581,SUV,1
OV54878,M,0,1022.4,SUV,0
SX26335,F,97732,289.9122,Sedan,0
LZ98947,F,0,784.8,SUV,0
CI95726,F,82477,432,Sedan,1
WO70078,F,97899,3.772105,Sedan,0
YV73432,M,58466,316.8,Sedan,0
GB70718,F,28646,355.028632,Sedan,0
IA42992,M,36881,499.2,SUV,0
NM77735,F,47593,344.137073,Sedan,0
HH23204,F,21986,333.696228,Sedan,1
MK32733,M,0,421.906803,SUV,0
SJ95423,M,99845,528,SUV,1
GF97506,M,0,571.2,Sports,1
RN96985,F,0,1000.850446,SUV,0
QT90140,F,68931,309.577946,Sedan,1
JG35886,F,65085,480.073548,Sedan,0
YM24620,M,24790,767.242337,SUV,0
LA97014,M,37574,412.101933,Sedan,0
FH39427,M,96390,316.977588,Sedan,0
SZ94413,M,30706,225.654806,Sedan,0
CK40732,F,0,741.6,Sedan,0
ET89070,F,85221,516.907624,Sports,0
AO40386,M,27504,436.8,Sedan,0
NL44360,F,13424,340.8,Sedan,0
BH43379,F,29698,215.884804,Sedan,0
CG13512,M,0,42.642554,Sedan,0
FD55376,M,48448,355.2,Sedan,0
CQ21583,M,17932,379.2,Sedan,0
UC29668,F,0,17.029835,Sedan,0
QE13586,M,44368,384,Sedan,1
XH93021,M,0,590.4,Sedan,0
CW27031,F,0,907.2,SUV,0
XP52012,M,0,538.689882,Sedan,0
KH48996,F,97205,5.573179,Sports,0
CW98845,M,0,307.2,Sedan,0
GN36177,M,43626,321.6,Sedan,0
PW31239,F,40864,166.937747,SUV,1
UG18431,M,73060,518.4,SUV,0
UV82770,M,0,532.8,SUV,0
UD61088,M,0,609.6,SUV,0
ZM75468,M,39135,436.8,Sedan,0
RU39880,F,58658,355.2,Sedan,0
KH53118,F,44485,79.893853,Sedan,0
RT17851,F,37940,512.542299,SUV,0
ZW18871,M,91245,19.251693,Sedan,0
AF10970,F,96163,350.4,Sedan,0
JG31799,F,20305,496.477418,Sedan,0
SK79760,M,15340,686.501976,SUV,0
CM88932,F,58557,55.510526,Sedan,1
ZR88383,F,55350,321.6,Sedan,1
HC63693,F,88049,567.065802,Sedan,0
KT40899,M,75436,9.747443,Sedan,0
SQ35375,F,22241,343.159148,Sedan,0
XB15703,M,80757,339.73717,SUV,0
QQ37605,F,26047,187.903224,Sedan,0
IR57729,M,46593,129.151543,Sedan,0
GI36262,F,65247,381.238176,Sedan,0
QO61775,M,79453,242.099049,SUV,0
DG34434,F,28909,456.702735,Sedan,1
HT64629,F,0,930.594707,SUV,0
LX42787,M,22567,496.8,Sedan,0
CW63533,M,65876,44.359382,Sedan,0
IU62399,F,36889,192.186026,Sedan,0
VP89545,M,0,292.8,Sedan,0
KU13616,F,11885,484.8,Sedan,1
SV43220,M,37256,128.969729,Sedan,1
TT30338,F,89586,302.4,Sedan,0
VD37089,M,29938,562.426585,Sedan,0
VV47792,F,71210,1027.2,Sedan,1
CP28581,M,59230,245.076091,SUV,0
KA58700,M,44712,537.78416,Sedan,0
SZ70655,F,0,292.8,Sedan,0
UD87700,M,0,1260.456194,SUV,0
ET79815,M,23091,460.8,Sedan,1
BX24569,M,0,660.430456,SUV,1
PE32165,F,76912,169.226996,Sports,0
FQ79356,F,18064,182.964184,Sedan,0
PZ10136,M,51641,137.091494,Sedan,0
YR45605,F,0,379.209349,Sedan,0
JI11950,F,0,302.4,Sedan,0
TN90661,M,83318,345.6,Sedan,0
KQ98040,F,70061,699.517349,Sedan,0
AE93522,M,75891,61.285525,Sedan,0
XF57481,M,50450,135.892444,Sedan,0
ND87334,M,0,679.368378,Sedan,0
CD95333,M,20920,14.784843,Sedan,0
OP60201,M,0,518.715288,Sedan,0
FB49203,F,0,655.2,Sedan,0
LE85123,M,35624,227.44626,Sedan,0
EU95973,F,22978,912,Sedan,0
FS19862,F,25198,566.4,SUV,0
ZF40143,F,48197,508.8,Sedan,0
QN13323,M,89096,64.98293,SUV,0
IR62720,M,25259,417.6,Sedan,0
HJ19927,M,14775,170.939409,Sedan,0
BV35683,F,62902,159.383042,Sedan,1
ZN59196,F,14108,523.2,Sedan,0
LK70293,F,0,1118.990694,Sedan,0
UT21323,M,0,1833.182529,SUV,0
EY49684,F,0,32.454659,Sedan,0
KS42294,F,30535,94.142294,Sedan,0
JZ61422,F,96668,316.8,Sedan,0
FE90301,F,61108,23.773332,Sedan,0
DJ77787,F,0,371.803029,Sedan,0
GM48223,F,42650,35.565605,Sedan,0
NE21279,F,0,537.6,SUV,0
WZ45123,M,60880,109.906628,Sedan,1
WU50951,F,0,456,Sedan,1
HH55884,M,10275,465.6,Sedan,0
VH45074,M,0,344.288189,Sedan,0
SR30440,F,43383,757.593913,SUV,0
JM47657,F,25965,329.206567,Sedan,1
OS96036,F,63624,306.337632,SUV,0
RI76930,F,43276,499.2,SUV,0
FI45719,M,32893,174.086385,Sedan,0
YN15016,M,0,489.6,Sedan,0
OX24868,F,0,1476.670903,SUV,0
CV35709,F,81872,256.43803,Sedan,1
FM10372,F,82414,30.423443,Sedan,0
CL97519,M,25187,580.8,SUV,0
LD75023,M,48268,1605.6,SUV,0
BP83941,F,0,552,SUV,0
WC66749,F,12613,336,Sedan,0
NG93751,M,46435,350.325879,Sedan,0
JD78271,F,64367,96.431061,SUV,0
LB25094,F,89451,61.769564,Sedan,1
BY22068,M,39335,964.8,SUV,0
UX24010,F,53614,725.849253,Sedan,0
FA82777,F,0,575.890362,Sedan,0
BV55014,M,24445,302.4,Sedan,0
XJ39660,F,66203,130.697268,Sedan,0
BP28492,F,38713,316.8,Sedan,1
MZ65087,M,92678,34.689611,Sedan,0
BZ36030,M,62575,508.8,Sedan,0
SH44158,M,0,327.685301,Sedan,0
NT82538,F,0,419.610914,Sedan,0
PR31642,F,32802,547.2,SUV,0
KJ87930,F,0,1185.988301,SUV,0
EL99335,F,20608,350.4,Sedan,0
JP55271,F,80046,260.627146,SUV,0
NW21079,F,67163,33.192803,Sedan,0
OI77877,M,31134,666.5271,Sedan,0
GG57214,F,0,482.4,Sedan,0
LO14234,M,0,1724.234933,SUV,0
WW99844,F,53607,93.891207,Sedan,0
IS95398,F,76352,501.83778,SUV,0
XE86547,M,58443,312,Sedan,0
IJ25462,M,86631,400.832857,Sedan,0
VE47660,F,30004,806.4,SUV,0
HB67642,F,20090,523.2,Sports,1
LK57934,M,45776,95.95081,Sedan,0
IG80910,F,47528,277.582137,Sedan,0
ED63600,M,0,1620,Sedan,0
KD70601,F,54834,186.191931,Sedan,0
PP14656,M,90353,72.617605,Sedan,0
YN15967,M,61160,354.530239,Sedan,0
KU84464,F,47272,64.546877,Sedan,0
SJ43436,F,52785,45.721456,Sedan,0
OU99581,M,49945,50.40447,Sedan,0
OF12725,F,28139,465.6,Sedan,0
HS97983,F,0,1212.054819,Sedan,0
AJ32539,M,25860,345.6,Sedan,0
EX72956,F,69461,101.417253,Sedan,0
XI68015,F,46239,6.395416,Sedan,0
DJ91267,F,34226,494.395024,SUV,0
NQ67659,F,33190,508.8,SUV,1
CM38959,F,70311,341.395103,Sedan,0
LM76366,M,28564,364.8,Sedan,0
TW12556,F,58577,303.872752,SUV,1
BL93659,M,0,384,Sedan,0
LB83807,M,63354,508.8,Sedan,0
XN41715,F,71135,270.563995,Sedan,0
WB12017,F,21189,316.8,Sedan,0
SL35268,M,30855,259.060862,Sedan,0
VE72838,F,59207,556.8,Sedan,1
YC63458,F,86498,8.529778,Sedan,0
UF93725,M,0,475.2,Sedan,0
XO11574,M,28928,192.644347,Sedan,0
OB69153,M,68074,27.987867,Sedan,0
BJ13380,F,91603,472.67262,Sedan,0
PK35830,M,0,1953.87972,SUV,0
GE80842,F,99159,912,SUV,0
ZI34278,F,21137,292.8,Sedan,0
FQ93665,F,21911,705.42264,Sedan,0
HW65139,M,21275,1152,SUV,0
KU61611,M,69040,518.4,Sports,0
LU12532,F,22081,451.670309,Sedan,1
YG38576,M,21594,340.8,Sedan,0
CD14267,M,60334,111.164747,Sedan,0
EW67348,F,38713,316.8,Sedan,1
HN60464,M,0,395.740207,Sedan,0
UF36172,F,0,428.064465,Sedan,0
ZP27971,M,26050,465.6,Sedan,0
WG50184,F,68931,309.577946,Sedan,1
UW20734,F,82918,29.828668,Sedan,0
UH79890,M,0,336,Sedan,0
LV82913,M,69451,230.241775,Sedan,0
RR47424,F,0,1550.596808,Sedan,0
TB88830,F,64220,48.782626,SUV,0
PP40919,F,0,436.8,Sedan,0
KH34667,M,50472,281.163705,Sedan,0
YX36936,M,39621,25.292113,SUV,0
UM83813,F,0,1396.8,SUV,0
DM22923,M,27398,326.4,Sedan,0
MS94619,F,76448,302.4,Sedan,0
GB43363,M,0,756,Sedan,0
WI89701,F,0,432.4081,Sedan,0
XS12556,F,0,564.466556,Sports,0
YU79270,M,27132,302.4,Sedan,0
BS94221,F,26184,297.6,Sedan,0
PB41497,M,81763,518.4,Sedan,0
EQ69638,M,0,554.4,Sedan,0
FW16824,M,72805,365.466805,Sedan,0
ZS96174,M,17937,312,Sedan,0
EP64069,F,72264,272.649844,Sedan,0
CO25601,M,0,569.761582,Sedan,0
EC28398,F,22886,312,Sedan,1
AO87348,M,0,292.8,Sedan,0
PH83205,M,26790,340.8,Sedan,1
FV33188,M,29735,331.2,Sedan,1
MM70762,M,37722,158.077504,Sports,1
EZ48093,M,31998,331.2,Sedan,0
NP33989,F,0,217.92632,Sedan,0
LX72964,F,88304,276.467811,Sedan,0
AX86552,M,24053,624.532492,Sedan,0
KZ95954,M,0,749.134686,Sedan,0
KP96020,F,39660,416.8496,Sports,0
VF65535,F,64937,328.82872,SUV,0
WA15684,M,27398,600,SUV,0
VD19899,F,50494,491.322893,Sedan,0
NJ29981,M,0,714.494746,SUV,0
XE65072,M,63483,85.073541,Sedan,0
PL28709,F,22571,302.4,Sedan,1
QD97878,M,24046,556.8,Sedan,0
MM10866,F,79090,289.040734,SUV,1
XR74007,F,62863,94.507735,Sedan,0
TT82373,F,21450,938.513425,Sports,0
WB43408,F,51523,738.840818,SUV,0
UV54502,F,0,331.2,Sedan,0
XT34986,M,89030,49.566591,SUV,0
NI49607,F,28719,792,SUV,0
DH61947,M,0,168.89233,Sedan,0
VC11777,F,80521,342.913243,Sedan,0
CP27565,M,44428,499.2,SUV,1
PP80817,F,59886,71.729298,Sports,0
KH12081,F,0,729.405742,SUV,0
GT17701,F,42987,128.490137,Sedan,0
DO20853,F,14254,595.2,SUV,0
FI75266,M,28422,453.909559,Sedan,0
AL50693,M,0,660.430456,SUV,1
LV51815,F,73137,227.797105,Sedan,0
QU52713,M,43177,420.966805,SUV,0
QT43282,M,76847,31.58501,SUV,0
